plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,violation_status
KBS5937,NY,PAS,9116793377,4/2/2024,12:10P,EXPIRED MUNI METER,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWswelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LDH5937,NY,PAS,9116793389,4/2/2024,12:15P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWswMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
RDMM33,FL,PAS,9116793407,4/2/2024,01:01P,CROSSWALK,115,0,0,0,0.0,115.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxGM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KBG1320,NY,PAS,9116793419,4/2/2024,01:04P,FIRE HYDRANT,115,0,0,0,0.0,115.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxGNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KRS1134,NY,PAS,9116793420,4/2/2024,01:20P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxGNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KEF1398,NY,PAS,9116793432,4/2/2024,01:23P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxGNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
C40SWW,NJ,PAS,9116793444,4/2/2024,01:27P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxFd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JNB5987,NY,PAS,9116793456,4/2/2024,01:30P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxFeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HTW7724,NY,PAS,9116793468,4/2/2024,01:35P,CROSSWALK,115,0,0,0,0.0,115.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxFeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KNZ9278,NY,PAS,9116793470,4/2/2024,01:43P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
K99PLW,NJ,PAS,9116793481,4/2/2024,01:46P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxFMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHA6282,NY,PAS,9116793493,4/2/2024,01:48P,EXPIRED MUNI METER,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxFMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KJJ2408,NY,PAS,9116793500,4/2/2024,01:51P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxWM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KBR7585,NY,PAS,9116793511,4/2/2024,01:58P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,0.0,35.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxWNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LAE6654,NY,PAS,9116793523,4/2/2024,02:00P,NO STANDING-BUS STOP,115,0,0,0,0.0,115.0,61,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZOZWxWNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KTN9787,NY,OMS,9116797279,3/27/2024,08:39A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWtrelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KKP3973,NY,OMS,9116797280,3/27/2024,08:40A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWtrMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
193BLK,CO,PAS,9116797292,3/27/2024,08:43A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWtrMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
HX96652,NY,HIS,9116797309,3/27/2024,08:46A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWsxM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
LHP4499,NY,PAS,9116797310,3/27/2024,08:52A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWsxNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KHG6693,NY,PAS,9116797322,3/27/2024,08:54A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWsxNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
FWV6998,NY,PAS,9116797334,3/27/2024,08:56A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWsxNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
BBN3526,WA,PAS,9116797346,3/27/2024,08:57A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWswd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
CP58094,TN,PAS,9116797358,3/27/2024,08:58A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWsweFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JXUJ94,FL,PAS,9116797360,3/27/2024,09:01A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWsweVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
KZU2788,NY,PAS,9116797371,3/27/2024,09:09A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWswelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
T699500C,NY,OMT,9116797383,3/27/2024,09:11A,REG. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWswMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",
JAF4794,NY,PAS,9116797395,3/27/2024,09:12A,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWswMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
MFT0616,PA,PAS,9116797401,3/27/2024,09:14A,NO PARKING-STREET CLEANING,65,0,0,0,0.0,65.0,66,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFNXFZelZPZWxGM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",
